project,api_level,source,yml_count
ez-recipes-android,29,detected,2
ez-recipes-android,33,detected,2
ez-recipes-android,31,detected,2
android,27,detected,64
android,30,detected,64
android,33,detected,64
android,31,detected,64
15puzzle,29,detected,3
rlad,29,detected,1
compose-challenges,29,detected,1
compose-challenges,23,detected,1
compose-challenges,26,detected,1
secure-storage-android,22,detected,3
secure-storage-android,23,detected,3
secure-storage-android,25,detected,3
secure-storage-android,29,detected,3
secure-storage-android,21,detected,3
expensemanager,29,detected,1
fastshopping,28,detected,6
rickandmorty,29,detected,6
coffeedrinkswithjetpackcompose,31,detected,2
and-bible,31,detected,7
trekarta,29,detected,3
trekarta,23,detected,3
anki-android,30,detected,12
antennapod,30,detected,2
easyrecipe,28,detected,3
notes,29,detected,5
weather-forecast-id,29,detected,3
aegis,31,detected,3
mobile,31,detected,9
icsx5,31,detected,4
learn-braille,29,detected,1
sdp-project,24,detected,1
bookworm,29,detected,2
bark,29,detected,1
bark,23,detected,1
bark,26,detected,1
curriculumvitae,29,detected,3
curriculumvitae,26,detected,3
curriculumvitae,30,detected,3
curriculumvitae,28,detected,3
curriculumvitae,31,detected,3
connectbot,28,detected,4
atom-tasks,29,detected,2
metadataremover,25,detected,2
marvel,29,detected,1
marvel,23,detected,1
marvel,26,detected,1
droid-feed,29,detected,2
droid-feed,21,detected,2
any,31,detected,4
conference-app-2021,29,detected,9
conference-app-2021,23,detected,9
conference-app-2021,26,detected,9
conference-app-2021,21,detected,9
jetpuppy,29,detected,1
jetpuppy,23,detected,1
jetpuppy,26,detected,1
euphony-hub-collector,28,detected,1
eventfahrplan,21,detected,2
atox,31,detected,2
shachi,31,detected,2
todo-compose,29,detected,3
omni-notes,30,detected,2
marvel-app,21,detected,3
mobile-app,32,detected,3
transportr,29,detected,1
transportr,21,detected,1
transportr,31,detected,1
onehotminute-compose,29,detected,1
onehotminute-compose,23,detected,1
onehotminute-compose,26,detected,1
zoo-compose,29,detected,1
zoo-compose,23,detected,1
zoo-compose,26,detected,1
android-dev-challenge-compose-countdown-timer,29,detected,1
android-dev-challenge-compose-countdown-timer,23,detected,1
android-dev-challenge-compose-countdown-timer,26,detected,1
kotlinandroidbase,28,detected,1
moonshot,29,detected,1
hash-checker,27,detected,2
android-kdrive,31,detected,2
android-kmail,31,detected,5
newsapp-retrofit,29,detected,2
newsapp-retrofit,23,detected,2
newsapp-retrofit,21,detected,2
kiwix-android,21,detected,5
kiwix-android,33,detected,5
kiwix-android,30,detected,5
android-starter-2022,24,detected,1
cat-adoption-app,29,detected,1
cat-adoption-app,23,detected,1
cat-adoption-app,26,detected,1
my-soothe,29,detected,1
