d9b6597 | Artem Chepurnoy | Thu Dec 9 16:47:31 2021 +0100 | Bump version to 2.2.2
a77d027 | Artem Chepurnoy | Thu Dec 9 16:30:38 2021 +0100 | Target SDK 30
981ce3d | Artem Chepurnoy | Thu Dec 9 16:15:03 2021 +0100 | Use flutter 2.8.x
07871e5 | Artem Chepurnoy | Tue Oct 12 12:14:50 2021 +0300 | Use upload-google-play@v1.0.15 to upload to Play Store
2065453 | Artem Chepurnoy | Tue Oct 12 12:02:35 2021 +0300 | Build with Flutter 2.5.x
2823ed0 | Artem Chepurnoy | Tue Oct 12 12:01:56 2021 +0300 | Add better accessibility support
2ce1654 | Artem Chepurnoy | Wed Aug 4 11:12:37 2021 +0300 | Reverse keyboard controls
d9050f6 | Artem Chepurnoy | Wed May 19 20:01:32 2021 +0300 | Bump version to 2.0.2+37
99c93fb | Artem Chepurnoy | Wed May 19 20:01:09 2021 +0300 | Use Flutter 2.2.x to build
068f571 | Artem Chepurnoy | Fri Mar 12 19:22:00 2021 +0200 | Change artemchep.com to gh.artemchep.com
6d55df1 | Artem Chepurnoy | Fri Mar 5 18:20:14 2021 +0200 | Bump version to 2.0.1
088e85e | Artem Chepurnoy | Fri Mar 5 18:19:38 2021 +0200 | Update target Android SDK to 29
1731693 | Artem Chepurnoy | Fri Mar 5 18:07:36 2021 +0200 | Use flutter 2.x to build
16902af | Artem Chepurnoy | Fri Mar 5 18:06:30 2021 +0200 | Update dependencies
db1cc94 | Artem Chepurnoy | Tue Nov 17 12:28:09 2020 +0200 | Cache NDK per builds
de35949 | Artem Chepurnoy | Sat Nov 7 14:31:33 2020 +0200 | Install NDK 21.0.6113669
c8c81bd | Artem Chepurnoy | Sat Nov 7 14:21:33 2020 +0200 | Bump version to 1.4.8+35
fbc2395 | Artem Chepurnoy | Sat Nov 7 14:21:08 2020 +0200 | Remove native orientation plugin
a83130f | Artem Chepurnoy | Sat Nov 7 14:09:20 2020 +0200 | Revert "Revert GMS updates"
6bbd6be | Artem Chepurnoy | Sat Nov 7 14:00:49 2020 +0200 | Bump version to 1.4.7+34
5e14a48 | Artem Chepurnoy | Sat Nov 7 14:00:22 2020 +0200 | Revert GMS updates
8370249 | Artem Chepurnoy | Sat Nov 7 13:44:58 2020 +0200 | Bump vers ion to 1.4.6+33
a3b9ce6 | Artem Chepurnoy | Sat Nov 7 13:44:27 2020 +0200 | Specify the exact flavor name
6e10c6b | Artem Chepurnoy | Sat Nov 7 13:44:06 2020 +0200 | Update dependencies
9068f44 | Artem Chepurnoy | Sat Nov 7 13:10:07 2020 +0200 | Install NDK v20.0.5594570
9abcf16 | Artem Chepurnoy | Sat Nov 7 13:02:28 2020 +0200 | Bump version to 1.4.5+32
f31b2ee | Artem Chepurnoy | Sat Nov 7 13:01:48 2020 +0200 | Bump version to 1.4.4+31
e91fc05 | Artem Chepurnoy | Sat Nov 7 13:01:22 2020 +0200 | Generate changelogs
a1c444e | Artem Chepurnoy | Sat Nov 7 13:00:12 2020 +0200 | Upload builds to Play store
a6a182e | Artem Chepurnoy | Sat Nov 7 12:57:46 2020 +0200 | Build with 1.24.x
ee6afdf | Artem Chepurnoy | Sat Nov 7 12:54:08 2020 +0200 | Revert "Temporarily disable .aab builds"
e99ca0c | Artem Chepurnoy | Tue Sep 29 10:44:29 2020 +0300 | Bump version to 1.4.3+30
7642d24 | Artem Chepurnoy | Tue Sep 29 10:42:49 2020 +0300 | Bump up dependencies
f0625fa | Artem Chepurnoy | Tue Sep 29 10:38:57 2020 +0300 | Fix usser is unable to select a new game mode
9ef66cc | Ken VanDine | Tue Aug 25 09:13:18 2020 -0500 | Build for Linux and add packaging for Snap Store (#12)
ce3652f | Artem Chepurnoy | Mon Jun 8 11:39:15 2020 +0300 | Bump version to 1.4.2+29
aa83155 | Artem Chepurnoy | Mon Jun 8 11:38:47 2020 +0300 | Support Auto/dark/light theme modes
cc79108 | Artem Chepurnoy | Mon Jun 8 11:19:22 2020 +0300 | Replace chips' move animation with slightly modified Curves.easeOutBack
2bbcd49 | Artem Chepurnoy | Mon Jun 8 11:09:08 2020 +0300 | Update speedmode description
cd08d1c | Artem Chepurnoy | Mon Jun 8 11:08:31 2020 +0300 | Save speedrun setting on application restart
52813da | Artem Chepurnoy | Fri May 29 18:36:07 2020 +0300 | Bump version to 1.4.1+28
62f0672 | Artem Chepurnoy | Fri May 29 18:35:42 2020 +0300 | Fix animation duration calculation
9d23948 | Artem Chepurnoy | Fri May 29 12:06:37 2020 +0300 | Bump version to 1.4.0+27
868cfe6 | Artem Chepurnoy | Fri May 29 12:06:17 2020 +0300 | Speed run mode: reduce animations and switch controls to taps
87fe4e9 | Artem Chepurnoy | Fri May 29 11:31:39 2020 +0300 | About: Show current app version
