,min,Q1,Median,Q3,max
nbr_of_manifest,1.0,1.0,2.0,3.0,122.0
repo_age_years,0.53,3.35,5.635,8.54,16.78
size,36.0,2226.75,10101.0,42862.25,8996657.0
stargazers_count,50.0,98.0,217.0,639.75,99443.0
forks_count,0.0,16.0,37.0,106.0,22894.0
contributors,0.0,2.0,5.0,16.0,461.0
pull_requests,0.0,5.0,26.0,124.0,50245.0
commits_GitAPI,1.0,81.0,259.0,865.0,120828.0
NBR_YAML,1.0,1.0,1.0,2.0,149.0
yml_AppVeyor,0.0,0.0,0.0,0.0,2.0
yml_Azure_Pipelines,0.0,0.0,0.0,0.0,1.0
yml_Bitbucket,0.0,0.0,0.0,0.0,1.0
yml_Bitrise,0.0,0.0,0.0,0.0,1.0
yml_Circle_CI,0.0,0.0,0.0,0.0,2.0
yml_Cirrus,0.0,0.0,0.0,0.0,1.0
yml_Error,0.0,0.0,0.0,0.0,2.0
yml_GitHub_Actions,0.0,0.0,1.0,2.0,149.0
yml_GitLab,0.0,0.0,0.0,0.0,4.0
yml_Nevercode,0.0,0.0,0.0,0.0,1.0
yml_Semaphore,0.0,0.0,0.0,0.0,1.0
yml_Travis_CI,0.0,0.0,0.0,1.0,1.0
NBR_GRADLE,1.0,1.0,1.0,1.0,4.0
