,Min,Q1,Median,Q3,Max
size,36.0,2717.5,12183.0,49660.5,8120889.0
repo_age_years,0.5,3.3,5.6,8.5,16.4
stargazers_count,41.0,99.0,221.0,656.0,99068.0
forks_count,0.0,16.0,37.0,105.5,22839.0
watchers_count,41.0,99.0,221.0,656.0,99068.0
contributors,0.0,2.0,5.0,16.0,461.0
pull_requests,0.0,5.0,27.0,136.0,24183.0
commits_GitAPI,1.0,82.0,298.0,1041.5,120828.0
NBR_YAML,1.0,1.0,1.0,3.0,243.0
nbr_of_manifest,1.0,1.0,2.0,3.0,122.0
yml_GitHub_Actions,0.0,0.0,1.0,2.0,241.0
yml_Travis_CI,0.0,0.0,0.0,0.0,1.0
yml_Circle_CI,0.0,0.0,0.0,0.0,2.0
