Project Name,YML File Count
01sadra,1
0GiS0,1
0Kirby,2
0xf4b1,6
0xpr03,1
20Nick,1
2439905184,1
2729StormRobotics,2
3daysapp,1
452,1
47degrees,1
52inc,1
6c65726f79,3
75py,3
8cAyqpVKio,2
8enet,1
ACM-VIT,3
AChep,2
AEFeinstein,1
AMOS-Project-TU-Berlin-Team-2,1
AOF-Dev,1
APN-Pucky,2
ARK-Builders,6
ARM-software,1
ARTI1208,4
Abhiek187,2
Abrynos,2
Abstractolotl,1
Active-Learning-and-Teaching,3
ActivityWatch,2
AdAway,4
AdamLBS,3
Adithya-13,1
AdoraNwodo,1
Aefyr,1
AgoraDesk-LocalMonero,1
Akaflieg-Freiburg,4
Akash-Ramjyothi,1
Akashkamble,2
AkshayChordiya,1
AlanCheen,1
Alaory,1
AlbatovK,1
Albert221,6
AlexZhukovich,3
AllanWang,1
Allsimon,1
Alvarenga-Dev,1
AmartyaSingh97,1
AmrDeveloper,1
AndBible,7
AndProx,1
AndreiD,1
AndrewQuijano,1
Andrewerr,1
AndroidKTX,3
AniTrend,4
AnimeTwist,1
AntennaPod,2
AnthoniIP,1
Anthonyeef,1
AntoninLoubiere,1
AntonioShen,2
Antox,2
Anuken,3
AnySoftKeyboard,8
Aperii,3
Appaxer,3
ApplETS,2
ArisGuimera,2
Arsybai,1
AtomicGameEngine,2
Austin-Ray,1
Ayvytr,6
BE-PROJECTS2018,1
BOINC,16
BanDev,1
Banana-Boat,2
Bartuzen,1
BaseballCardTracker,1
Be-Better-Programmer,1
BeerXP,1
BelledonneCommunications,1
Betaco-Open,1
Big-Fig,6
Binary-Team,1
BitByte-TPC,2
BitPortal,2
Blockstream,2
BlueCat-Community,1
Bnyro,4
BombusMod,2
BorisGautier,1
BrightDV,1
BruceTrindade,1
BruceWind,2
BryanGIG,1
BuildAPKs,3
BzCoder,1
CASL0,1
CCninja86,1
CIInc,2
CMPUT301F21T24,1
CMPUT301F21T37,1
CMPUT301F22T06,1
CNugteren,1
CSEKINGS,2
CSID-DGU,1
CYB3R-G0D,2
Cai1Hsu,2
Calendar-Events-Manager,1
Calinou,1
Calsign,1
CalyxOS,1
Cap-go,5
CarGuo,4
Carapacik,1
CarlosEsco,3
CasperVerswijvelt,1
CatimaLoyalty,6
Catrobat,2
CellularPrivacy,1
CerritusCodersComm,1
ChainSafe,1
Chamidilshan,1
Chandra-Sekhar-Bala,1
CherryPerry,1
Chesire,4
Church-Life-Apps,4
Clarifai,1
ClaymanTwinkle,1
Code0987,2
CodeChefVIT,4
CodeRockets,1
CodemateLtd,1
Coinfo,1
CominAtYou,1
Commit451,18
CookieJarApps,1
Cosmic-Ide,9
Cotel,1
Crazy-Marvin,22
CycloneAxe,1
CypherpunkArmory,1
DATL4G,3
DIT112-V19,1
DSAppTeam,1
DSC-JSS-NOIDA,1
DUpdateSystem,4
Dagda-Social,3
DanXi-Dev,3
DanielBerge,2
DanielMartinus,1
David-Hackro,1
DavidUps,1
DefinedNet,3
Delta-Icons,3
DevCom-IITB,1
DevelopFreedom,1
Devsoc-BPGC,1
DeweyReed,1
DidahDx,1
DiegoVictor,1
Dimas263,2
DimensionDev,3
Dimezis,1
Divested-Mobile,5
Docile-Alligator,2
Droid-ify,4
DroidKaigi,9
DroidsOnRoids,1
Droidui,3
Dzhuneyt,3
E2517,2
EBfVince,2
EXALAB,1
EarlOfEgo,1
EasyRPG,1
EdrowsLuo,1
EduFdezSoy,1
EkaterinaT89,1
Elbehiry,2
EmmanuelMess,1
EnisHalimi,2
EpimetheusMusicPlayer,1
Erudition,1
Etar-Group,1
EvanRespaut,1
EventFahrplan,1
Exodus-Privacy,2
EzraLopez,1
F4uzan,2
FLinspirer,1
Fabi019,3
FaceInCake,1
Fachschaft07,1
Faltenreich,1
FantLab,1
FarshidRoohi,1
Fast0n,1
Fbada006,1
Felix-Kariuki,1
FerranMontoliu,1
Fic-Spinoff,1
FirePing32,1
FishHawk,2
Flowit-Game,1
ForceTower,3
ForstaLabs,2
Fortyseven,1
Foundy-LLC,1
FreezeYou,2
FriesI23,4
Fueled,1
GDGVIT,3
GOVINDDIXIT,1
GauthamAsir,1
GetStream,1
Ghini,1
GianpaMX,1
GiorgioBertolotti,1
Glucosio,1
Gnuhry,1
Governikus,2
GrapheneOS,4
Green-Cloud-Project,2
Greenstand,1
Grohden,1
GuJin,1
GuhaAG,1
GulajavaMinistudio,1
HRVBand,1
HackGT,1
HadesPTIT,1
Haid-Faiz,3
Haifa3D,1
Haleydu,1
Hamza417,1
HaneetGH,1
Hash-Studios,1
HathorNetwork,1
Hatzen,1
HearthSim,2
Henry-Hiles,1
Him188,2
HitaloM,5
Hossam-Sayed,1
HugoGresse,1
Husseinfo,1
Hussienfahmy,1
I-Info,3
IBM-Cloud,1
IIT-BHU-InstiApp,2
IITC-CE,5
ILT-HSR,1
IReaderorg,4
IanField90,2
IdeaTrackerPlus,1
Ilya-Gh,1
InSync-HQ,1
Infomaniak,7
Interconnected-project,1
ItsCalebJones,3
ItsPriyesh,1
IvBaranov,1
JBamberger,1
JBirdVegas,1
JMRI,1
Jacknic,2
JahidHasanCO,2
JamesClonk,1
JamesOsborn-SE,2
Jamling,1
Javinator9889,1
Jblew,1
Jeevan-Kishore,2
JessYanCoding,2
JingZhuanDuoYing,1
Jintin,1
JobinBiju,1
Johan-Palacios,1
JonForShort,4
JonasBernard,1
