Run Command,Count
"""uses"": ""reactivecircus/android-emulator-runner@v2"",",40
"""emulator-options"": ""-no-snapshot-save -no-window -gpu swiftshader_indirect -noaudio -no-boot-anim -camera-back none"",",18
"""path"": ""~/.android/avd/*\n~/.android/adb*\n"",",17
"""emulator-options"": ""-no-window -gpu swiftshader_indirect -noaudio -no-boot-anim -camera-back none"",",16
"""uses"": ""reactivecircus/android-emulator-runner@d94c3fbe4fe6a29e4a5ba47c12fb47677c73656b"",",4
"""emulator-boot-timeout"": 900,",3
"""script"": ""cd mobile-app && if adb shell pm list packages | grep -q org.freecodecamp; then adb uninstall org.freecodecamp; fi && dart integration_test_runner.dart""",2
"""uses"": ""reactivecircus/android-emulator-runner@v2.28.0"",",2
"""avd-name"": ""Emulator"",",2
"""name"": ""Run tests in emulator"",",2
"""emulator-options"": ""-gpu swiftshader_indirect -no-snapshot -noaudio -no-boot-anim -camera-back none"",",2
"""emulator-options"": ""-no-window -gpu swiftshader_indirect -no-snapshot -noaudio -no-boot-anim"",",2
"""emulator-options"": ""-no-snapshot-save -noaudio -no-boot-anim -camera-back none -skin 540x1110"",",2
"""name"": ""Create Android emulator"",",1
"""run"": ""adb shell monkey -p net.activitywatch.android.debug 1\nsleep 10\nscreencapture screenshots/pscreenshot-$SUFFIX.jpg\n$ANDROID_HOME/platform-tools/adb exec-out screencap -p > screenshots/pemulator-$SUFFIX.png\nls -alh screenshots/\n""",1
"""run"": ""mkdir -p mobile/build\nadb logcat -d > mobile/build/logcat.log\nadb logcat -v color &\n""",1
"""run"": ""echo \""Starting emulator and waiting for boot to complete....\""\nls -la $ANDROID_HOME/emulator\nnohup $ANDROID_HOME/tools/emulator -avd $MATRIX_AVD -gpu host -no-audio -no-boot-anim -camera-back none -camera-front none -qemu -m 2048 2>&1 &\n$ANDROID_HOME/platform-tools/adb wait-for-device shell 'while [[ -z $(getprop sys.boot_completed | tr -d '\\r') ]]; do echo \""wait...\""; sleep 1; done; input keyevent 82'\necho \""Emulator has finished booting\""\n$ANDROID_HOME/platform-tools/adb devices\nsleep 30\nmkdir -p screenshots\nscreencapture screenshots/screenshot-$SUFFIX.jpg\n$ANDROID_HOME/platform-tools/adb exec-out screencap -p > screenshots/emulator-$SUFFIX.png\n""",1
"""name"": ""Start Android emulator"",",1
