file,job,step_name,matched_keywords,detection_method,full_step_json
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\75py.CallConfirm.Travis_CI..travis.yml,full_file_scan,,['adb'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\abbasalim.FilePickerDialog-master.Travis_CI..travis.yml,full_file_scan,,['adb'],full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\Abhiek187.ez-recipes-android.GitHub_Actions.fastlane.yml,ui-test,Run instrumented tests,"['emulator', 'android-emulator']",standard,"{
  ""name"": ""Run instrumented tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""arch"": ""x86_64"",
    ""target"": ""google_apis"",
    ""working-directory"": ""./EZRecipes"",
    ""script"": ""./gradlew connectedAndroidTest""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\AChep.AcDisplay.Travis_CI..travis.yml,full_file_scan,,"['emulator', 'adb', 'create avd']",full_file_scan,Matched by full file scan
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ActivityWatch.aw-android.GitHub_Actions.build.yml,test-e2e,Create Android emulator,"['emulator', 'avdmanager', 'create avd']",standard,"{
  ""name"": ""Create Android emulator"",
  ""run"": ""brew install intel-haxm\n# Install AVD files\necho \""y\"" | $ANDROID_HOME/tools/bin/sdkmanager --install 'system-images;android-'$MATRIX_E_SDK';default;x86_64'\necho \""y\"" | $ANDROID_HOME/tools/bin/sdkmanager --licenses\n\n# Create emulator\n$ANDROID_HOME/tools/bin/avdmanager create avd -n $MATRIX_AVD -d pixel --package 'system-images;android-'$MATRIX_E_SDK';default;x86_64'\n$ANDROID_HOME/emulator/emulator -list-avds\nif false; then\nemulator_config=~/.android/avd/$MATRIX_AVD.avd/config.ini\n# The following madness is to support empty OR populated config.ini files,\n# the state of which is dependant on the version of the emulator used (which we don't control),\n# so let's be defensive to be safe.\n# Replace existing config (NOTE we're on MacOS so sed works differently!)\nsed -i .bak 's/hw.lcd.density=.*/hw.lcd.density=420/' \""$emulator_config\""\nsed -i .bak 's/hw.lcd.height=.*/hw.lcd.height=1920/' \""$emulator_config\""\nsed -i .bak 's/hw.lcd.width=.*/hw.lcd.width=1080/' \""$emulator_config\""\n# Or, add new config\nif ! grep -q \""hw.lcd.density\"" \""$emulator_config\""; then\n  echo \""hw.lcd.density=420\"" >> \""$emulator_config\""\nfi\nif ! grep -q \""hw.lcd.height\"" \""$emulator_config\""; then\n  echo \""hw.lcd.height=1920\"" >> \""$emulator_config\""\nfi\nif ! grep -q \""hw.lcd.width\"" \""$emulator_config\""; then\n  echo \""hw.lcd.width=1080\"" >> \""$emulator_config\""\nfi\necho \""Emulator settings ($emulator_config)\""\ncat \""$emulator_config\""\nfi\n""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ActivityWatch.aw-android.GitHub_Actions.build.yml,test-e2e,Start Android emulator,"['emulator', 'adb', 'wait-for-device']",standard,"{
  ""name"": ""Start Android emulator"",
  ""timeout-minutes"": 30,
  ""env"": {
    ""SUFFIX"": ""${{ matrix.android_avd }}-eAPI-${{ matrix.android_emu_version }}-${{ matrix.os }}"",
    ""HOMEBREW_NO_INSTALL_CLEANUP"": 1
  },
  ""run"": ""echo \""Starting emulator and waiting for boot to complete....\""\nls -la $ANDROID_HOME/emulator\nnohup $ANDROID_HOME/tools/emulator -avd $MATRIX_AVD -gpu host -no-audio -no-boot-anim -camera-back none -camera-front none -qemu -m 2048 2>&1 &\n$ANDROID_HOME/platform-tools/adb wait-for-device shell 'while [[ -z $(getprop sys.boot_completed | tr -d '\\r') ]]; do echo \""wait...\""; sleep 1; done; input keyevent 82'\necho \""Emulator has finished booting\""\n$ANDROID_HOME/platform-tools/adb devices\nsleep 30\nmkdir -p screenshots\nscreencapture screenshots/screenshot-$SUFFIX.jpg\n$ANDROID_HOME/platform-tools/adb exec-out screencap -p > screenshots/emulator-$SUFFIX.png\n""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ActivityWatch.aw-android.GitHub_Actions.build.yml,test-e2e,Output and save logcat to file,['adb'],standard,"{
  ""name"": ""Output and save logcat to file"",
  ""if"": ""${{ success() || steps.test.conclusion == 'failure'}}"",
  ""run"": ""mkdir -p mobile/build\nadb logcat -d > mobile/build/logcat.log\nadb logcat -v color &\n""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\ActivityWatch.aw-android.GitHub_Actions.build.yml,test-e2e,Screenshot,"['emulator', 'adb']",standard,"{
  ""name"": ""Screenshot"",
  ""if"": ""${{ success() || steps.test.conclusion == 'failure'}}"",
  ""env"": {
    ""SUFFIX"": ""${{ matrix.android_avd }}-eAPI-${{ matrix.android_emu_version }}-${{ matrix.os }}""
  },
  ""run"": ""adb shell monkey -p net.activitywatch.android.debug 1\nsleep 10\nscreencapture screenshots/pscreenshot-$SUFFIX.jpg\n$ANDROID_HOME/platform-tools/adb exec-out screencap -p > screenshots/pemulator-$SUFFIX.png\nls -alh screenshots/\n""
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\adamdanielczyk.RLAD.GitHub_Actions.android.yml,connectedAndroidTest,,"['emulator', 'android-emulator']",standard,"{
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": 29,
    ""script"": ""./gradlew connectedAndroidTest""
  }
}"
C:\Users\Parsazh\Downloads\Config Files-20250522T134837Z-1-001\Config Files\adneal.compose-challenges.GitHub_Actions.Check.yaml,test,Run instrumentation tests,"['emulator', 'instrumentation', 'android-emulator']",standard,"{
  ""name"": ""Run instrumentation tests"",
  ""uses"": ""reactivecircus/android-emulator-runner@v2"",
  ""with"": {
    ""api-level"": ""${{ matrix.api-level }}"",
    ""arch"": ""x86"",
    ""disable-animations"": true,
    ""script"": ""./gradlew connectedCheck --stacktrace""
  }
}"
