project,api_level,source,yml_count
ez-recipes-android,29,matrix,2
ez-recipes-android,33,matrix,2
ez-recipes-android,31,matrix,2
android,27,matrix,41
android,31,matrix,41
RLAD,29,hardcoded,1
compose-challenges,26,matrix,1
compose-challenges,23,matrix,1
compose-challenges,29,matrix,1
secure-storage-android,29,matrix,3
secure-storage-android,23,matrix,3
secure-storage-android,22,matrix,3
secure-storage-android,25,matrix,3
secure-storage-android,21,matrix,3
ExpenseManager,29,hardcoded,1
Palette-Compose,29,hardcoded,2
FastShopping,28,hardcoded,6
RickAndMorty,29,hardcoded,6
CoffeeDrinksWithJetpackCompose,31,hardcoded,2
and-bible,31,hardcoded,7
trekarta,23,matrix,3
trekarta,29,matrix,3
Anki-Android,30,matrix,12
AntennaPod,30,hardcoded,2
EasyRecipe,28,hardcoded,3
weather-forecast-ID,29,hardcoded,3
Aegis,31,hardcoded,3
mobile,31,hardcoded,9
icsx5,31,matrix,4
learn-braille,29,hardcoded,1
sdp-project,24,hardcoded,1
Bookworm,29,hardcoded,2
Bark,26,matrix,1
Bark,23,matrix,1
Bark,29,matrix,1
curriculumvitae,26,matrix,3
curriculumvitae,29,matrix,3
curriculumvitae,28,matrix,3
curriculumvitae,31,matrix,3
curriculumvitae,30,hardcoded,3
connectbot,28,hardcoded,4
atom-tasks,29,hardcoded,2
MetadataRemover,25,hardcoded,2
Marvel,26,matrix,1
Marvel,23,matrix,1
Marvel,29,matrix,1
droid-feed,29,matrix,2
droid-feed,21,matrix,2
any,31,hardcoded,4
conference-app-2021,26,matrix,9
conference-app-2021,23,matrix,9
conference-app-2021,29,matrix,9
conference-app-2021,21,matrix,9
jetpuppy,26,matrix,1
jetpuppy,23,matrix,1
jetpuppy,29,matrix,1
euphony-hub-collector,28,matrix,1
EventFahrplan,21,hardcoded,2
aTox,31,hardcoded,2
shachi,31,hardcoded,2
Todo-compose,29,hardcoded,3
Omni-Notes,30,hardcoded,2
marvel-app,21,hardcoded,3
mobile-app,32,hardcoded,3
Transportr,29,matrix,1
Transportr,31,matrix,1
Transportr,21,matrix,1
OneHotMinute-Compose,26,matrix,1
OneHotMinute-Compose,23,matrix,1
OneHotMinute-Compose,29,matrix,1
Zoo-Compose,26,matrix,1
Zoo-Compose,23,matrix,1
Zoo-Compose,29,matrix,1
android-dev-challenge-compose-countdown-timer,26,matrix,1
android-dev-challenge-compose-countdown-timer,23,matrix,1
android-dev-challenge-compose-countdown-timer,29,matrix,1
KotlinAndroidBase,28,matrix,1
MoonShot,29,hardcoded,1
hash-checker,27,hardcoded,2
android-kDrive,31,matrix,2
android-kMail,31,matrix,5
15Puzzle,29,hardcoded,2
NewsApp-Retrofit,23,matrix,2
NewsApp-Retrofit,29,matrix,2
NewsApp-Retrofit,21,matrix,2
kiwix-android,33,matrix,5
kiwix-android,21,matrix,5
kiwix-android,30,matrix,5
android-starter-2022,24,hardcoded,1
cat-adoption-app,26,matrix,1
cat-adoption-app,23,matrix,1
cat-adoption-app,29,matrix,1
my-soothe,26,matrix,1
my-soothe,23,matrix,1
my-soothe,29,matrix,1
we-trade,26,matrix,1
we-trade,23,matrix,1
we-trade,29,matrix,1
compose-kotlin-repositories,29,matrix,1
Smilodon,29,hardcoded,1
cht-android,29,hardcoded,2
greenpass-android,31,hardcoded,4
virtual_traveller_flutter,23,matrix,3
virtual_traveller_flutter,29,matrix,3
bluelineconsole,29,matrix,3
