repo,styles,start_dt,end_dt,within_changes
4eRTuk__audioview,Emu_Custom,2019-04-18T13:57:38+03:00,2025-08-10T23:59:59+00:00,0
a-mabe__OpenHIIT,Emu_Custom,2025-01-01T10:55:09-05:00,2025-01-03T09:16:09-05:00,0
a-mabe__OpenHIIT,Emu_Community,2025-01-03T09:16:09-05:00,2025-05-14T19:29:41-04:00,0
a-mabe__OpenHIIT,Emu_Custom,2025-05-14T19:29:41-04:00,2025-05-25T21:01:47-04:00,0
a-mabe__OpenHIIT,Emu_Community,2025-05-25T21:01:47-04:00,2025-06-10T20:09:19-04:00,0
a-mabe__OpenHIIT,Emu_Custom,2025-06-10T20:09:19-04:00,2025-06-11T20:09:53-04:00,0
a-mabe__OpenHIIT,Emu_Community,2025-06-11T20:09:53-04:00,2025-08-10T23:59:59+00:00,0
a914-gowtham__compose-ratingbar,Emu_Custom,2021-07-02T22:22:09+05:30,2025-08-10T23:59:59+00:00,0
AAkira__ExpandableLayout,Emu_Custom,2016-02-09T23:50:39+09:00,2025-08-10T23:59:59+00:00,0
abdelaziz-mahdy__pytorch_lite,Emu_Community,2023-07-29T14:49:02+03:00,2025-08-10T23:59:59+00:00,0
ably__ably-flutter,Emu_Community,2020-11-04T22:21:10+05:30,2025-08-10T23:59:59+00:00,0
AChep__AcDisplay,Emu_Custom,2014-07-22T19:23:35+03:00,2025-08-10T23:59:59+00:00,0
ActivityWatch__aw-android,Emu_Custom,2022-11-24T19:40:49+01:00,2025-08-10T23:59:59+00:00,0
AdamMc331__AndroidStudyGuide,Emu_Community,2021-02-17T20:02:44-05:00,2025-08-10T23:59:59+00:00,0
AdevintaSpain__Barista,Emu_Custom,2017-01-10T19:18:59+01:00,2020-06-02T11:03:57+02:00,0
AdevintaSpain__Barista,Emu_Community,2020-06-02T11:03:57+02:00,2025-08-10T23:59:59+00:00,0
admob-plus__admob-plus,Emu_Custom,2018-06-19T01:53:17+08:00,2020-10-18T15:12:17+08:00,0
admob-plus__admob-plus,Emu_Community,2020-10-18T15:12:17+08:00,2025-08-10T23:59:59+00:00,0
adorsys__secure-storage-android,Emu_Custom,2017-09-14T11:48:11+02:00,2020-01-21T23:14:29+01:00,0
adorsys__secure-storage-android,Emu_Community,2020-01-21T23:14:29+01:00,2025-08-10T23:59:59+00:00,0
agoda-com__ninjato,ThirdParty,2019-04-04T11:34:11+07:00,2025-08-10T23:59:59+00:00,0
airbnb__paris,Emu_Custom,2021-09-18T12:34:39-05:00,2022-01-07T18:24:18-08:00,0
airbnb__paris,Emu_Community,2022-01-07T18:24:18-08:00,2025-08-10T23:59:59+00:00,0
ajitsing__ExpenseManager,Emu_Community,2021-02-03T19:22:26+05:30,2025-08-10T23:59:59+00:00,0
Albert221__FastShopping,Emu_Community,2021-01-30T17:00:28+01:00,2025-08-10T23:59:59+00:00,0
alexbakker__webdav-provider,Emu_Community,2021-09-05T16:15:43+02:00,2025-08-10T23:59:59+00:00,0
alexstyl__contactstore,Emu_Community,2022-01-06T17:21:35+02:00,2025-08-10T23:59:59+00:00,0
alphacep__vosk-flutter,Emu_Community,2023-03-03T00:39:50+03:00,2025-08-10T23:59:59+00:00,0
am15h__tflite_flutter_helper,Emu_Community,2020-06-30T00:59:29+05:30,2025-08-10T23:59:59+00:00,0
amahi__android,Emu_Custom,2020-08-13T01:41:32+05:30,2025-08-10T23:59:59+00:00,0
amitshekhariitbhu__Fast-Android-Networking,Emu_Custom,2016-04-30T00:14:38+05:30,2025-08-10T23:59:59+00:00,0
AndBible__and-bible,GMD,2023-05-31T18:52:06+03:00,2023-06-01T11:11:52+03:00,0
AndBible__and-bible,Emu_Community+GMD,2023-06-01T11:11:52+03:00,2025-08-10T23:59:59+00:00,0
AndProx__AndProx,Emu_Custom,2018-09-09T14:29:19+10:00,2025-08-10T23:59:59+00:00,0
andremion__Villains-and-Heroes,Emu_Custom,2016-09-25T13:05:04+01:00,2025-08-10T23:59:59+00:00,0
andreynovikov__trekarta,Emu_Community,2019-11-28T11:46:13+03:00,2025-08-10T23:59:59+00:00,0
andriydruk__swift-weather-app,Emu_Custom,2020-06-06T00:12:01+03:00,2025-08-10T23:59:59+00:00,0
android__codelab-android-compose,Emu_Community,2020-11-12T11:33:58+01:00,2025-08-10T23:59:59+00:00,0
android__nowinandroid,ThirdParty,2022-01-27T13:56:35+01:00,2022-05-12T18:20:23+02:00,0
android__nowinandroid,Emu_Community+ThirdParty,2022-05-12T18:20:23+02:00,2022-11-02T10:21:30+00:00,0
android__nowinandroid,Emu_Community+GMD+ThirdParty,2022-11-02T10:21:30+00:00,2023-10-03T18:53:28+01:00,0
android__nowinandroid,Emu_Community+ThirdParty,2023-10-03T18:53:28+01:00,2025-08-10T23:59:59+00:00,0
anilbeesetti__nextplayer,Emu_Community,2023-02-20T15:22:49+05:30,2025-08-10T23:59:59+00:00,0
anjlab__android-inapp-billing-v3,Emu_Custom,2017-01-23T09:38:30+03:00,2021-11-18T16:54:34+03:00,0
anjlab__android-inapp-billing-v3,Emu_Community,2021-11-18T16:54:34+03:00,2025-08-10T23:59:59+00:00,0
ankidroid__Anki-Android,Emu_Custom,2013-06-20T08:12:51+01:00,2022-04-24T13:15:19-05:00,0
