repo,style,start,end,duration_days,changes,changes_per_100d
4eRTuk__audioview,Emu_Custom,2019-04-18T13:57:38+03:00,2025-08-10T23:59:59+00:00,2306.543298611111,0,0.0
a-mabe__OpenHIIT,Emu_Custom,2025-01-01T10:55:09-05:00,2025-01-03T09:16:09-05:00,1.93125,0,0.0
a-mabe__OpenHIIT,Emu_Community,2025-01-03T09:16:09-05:00,2025-05-14T19:29:41-04:00,131.38439814814814,0,0.0
a-mabe__OpenHIIT,Emu_Custom,2025-05-14T19:29:41-04:00,2025-05-25T21:01:47-04:00,11.063958333333334,0,0.0
a-mabe__OpenHIIT,Emu_Community,2025-05-25T21:01:47-04:00,2025-06-10T20:09:19-04:00,15.963564814814815,0,0.0
a-mabe__OpenHIIT,Emu_Custom,2025-06-10T20:09:19-04:00,2025-06-11T20:09:53-04:00,1.0003935185185184,0,0.0
a-mabe__OpenHIIT,Emu_Community,2025-06-11T20:09:53-04:00,2025-08-10T23:59:59+00:00,59.993125,0,0.0
a914-gowtham__compose-ratingbar,Emu_Custom,2021-07-02T22:22:09+05:30,2025-08-10T23:59:59+00:00,1500.2971064814815,0,0.0
AAkira__ExpandableLayout,Emu_Custom,2016-02-09T23:50:39+09:00,2025-08-10T23:59:59+00:00,3470.3814814814814,0,0.0
abdelaziz-mahdy__pytorch_lite,Emu_Community,2023-07-29T14:49:02+03:00,2025-08-10T23:59:59+00:00,743.5076041666666,0,0.0
ably__ably-flutter,Emu_Community,2020-11-04T22:21:10+05:30,2025-08-10T23:59:59+00:00,1740.2977893518519,0,0.0
AChep__AcDisplay,Emu_Custom,2014-07-22T19:23:35+03:00,2025-08-10T23:59:59+00:00,4037.3169444444443,0,0.0
ActivityWatch__aw-android,Emu_Custom,2022-11-24T19:40:49+01:00,2025-08-10T23:59:59+00:00,990.2216435185185,0,0.0
AdamMc331__AndroidStudyGuide,Emu_Community,2021-02-17T20:02:44-05:00,2025-08-10T23:59:59+00:00,1634.9564236111112,0,0.0
AdevintaSpain__Barista,Emu_Custom,2017-01-10T19:18:59+01:00,2020-06-02T11:03:57+02:00,1238.6145601851852,0,0.0
AdevintaSpain__Barista,Emu_Community,2020-06-02T11:03:57+02:00,2025-08-10T23:59:59+00:00,1895.6222453703704,0,0.0
admob-plus__admob-plus,Emu_Custom,2018-06-19T01:53:17+08:00,2020-10-18T15:12:17+08:00,852.5548611111111,0,0.0
admob-plus__admob-plus,Emu_Community,2020-10-18T15:12:17+08:00,2025-08-10T23:59:59+00:00,1757.6997916666667,0,0.0
adorsys__secure-storage-android,Emu_Custom,2017-09-14T11:48:11+02:00,2020-01-21T23:14:29+01:00,859.5182638888889,0,0.0
adorsys__secure-storage-android,Emu_Community,2020-01-21T23:14:29+01:00,2025-08-10T23:59:59+00:00,2028.073263888889,0,0.0
agoda-com__ninjato,ThirdParty,2019-04-04T11:34:11+07:00,2025-08-10T23:59:59+00:00,2320.809583333333,0,0.0
airbnb__paris,Emu_Custom,2021-09-18T12:34:39-05:00,2022-01-07T18:24:18-08:00,111.3678125,0,0.0
airbnb__paris,Emu_Community,2022-01-07T18:24:18-08:00,2025-08-10T23:59:59+00:00,1310.8997800925927,0,0.0
ajitsing__ExpenseManager,Emu_Community,2021-02-03T19:22:26+05:30,2025-08-10T23:59:59+00:00,1649.4219097222222,0,0.0
